Sample_ID,Sample_Collection_Date,Site_name,Lat,Lon,Sample_type,d17O,d17O_unc,d18O,d18O_unc,dD,dD_unc,D17O,D17O_unc,D17O_unc_t,d_exc,d_exc_unc,Data_source,MinElevation,MeanElevation,MaxElevation,MinSlope,MeanSlope,MaxSlope,MeanAspect
BW-23-80,8/11/2023,North Eden Creek,41.9871466,-111.2640901,River_or_stream,-9.014,0.024,-16.984,0.018,-130.642,0.348,-5.982,4.985,5.285051646,5.23,0.376616516,Project,1819.9408,1819.9408,1819.9408,2.225383,2.225383,2.225383,313.25061
BW-23-82,8/11/2023,South Eden Creek,41.920092,-111.2540666,River_or_stream,-8.094,0.026,-15.24,0.033,-119.686,0.323,-14.675,8.064,8.549454549,2.234,0.417163038,Project,1885.3749,1885.3749,1885.3749,3.8783615,3.8783615,3.8783615,181.28032
BW-23-84,8/11/2023,Big Creek,41.8135661,-111.3792054,River_or_stream,-9.437,0.035,-17.833,0.037,-131.705,0.427,28.229,2.76,3.045719147,10.959,0.519562316,Project,1814.38,1814.38,1814.38,6.5288386,6.5288386,6.5288386,63.345955
BW-23-86,8/11/2023,Bear Lake Rest Stop spigot,41.856927,-111.364012,Ground,-9.11,0.038,-17.147,0.032,-128.54,0.417,-19.02,12.524,13.82321712,8.636,0.48931074,Project,1808.899,1808.899,1808.899,1.42162,1.42162,1.42162,172.29796
BW-23-88,8/11/2023,Swan Creek,41.9850612,-111.4105672,River_or_stream,-9.345,0.03,-17.617,0.017,-129.49,0.341,2.687,6.845,7.256988101,11.446,0.367119871,Project,1813.5128,1813.5128,1813.5128,9.6469975,9.6469975,9.6469975,27.490679
BW-23-89,8/11/2023,Fish Haven Creek,42.0379654,-111.4173894,River_or_stream,-9.391,0.033,-17.687,0.028,-129.672,0.418,-10.225,6.609,7.496837438,11.824,0.474236228,Project,1883.9436,1883.9436,1883.9436,4.5270658,4.5270658,4.5270658,147.36269
BW-23-90,8/11/2023,Little Creek (St. Charles Fork),42.118482,-111.3887997,River_or_stream,-9.121,0.031,-17.219,0.032,-126.35,0.41,6.011,7.42,8.18977459,11.402,0.48335908,Project,1812.9839,1812.9839,1812.9839,0.95515215,0.95515215,0.95515215,69.74128
BW-23-93,8/12/2023,Blue Pond Springs outlet,42.1043561,-111.494693,River_or_stream,-9.125,0.054,-17.234,0.051,-125.944,0.468,3.314,8.858,9.77620926,11.928,0.620876799,Project,1970.545,1970.545,1970.545,4.1093273,4.1093273,4.1093273,358.6727
BW-23-94,8/12/2023,Blue Pond Springs,42.1048501,-111.4956297,Pond,-9.174,0.042,-17.233,0.027,-125.981,0.408,-29.986,7.328,8.087876299,11.883,0.461649217,Project,1971.6451,1971.6451,1971.6451,20.093899,20.093899,20.093899,69.841782
BW-23-95,8/12/2023,North Fork St Charles Creek (before),42.1017775,-111.5389705,River_or_stream,-9.262,0.032,-17.511,0.03,-127.506,0.347,-13.264,3.781,4.008606047,12.582,0.421911128,Project,2158.8997,2158.8997,2158.8997,8.4615126,8.4615126,8.4615126,182.56493
BW-23-96,8/12/2023,North Fork St Charles Creek,42.0987941,-111.5370162,River_or_stream,-9.153,0.028,-17.262,0.027,-125.431,0.329,-4.096,7.774,8.242293824,12.665,0.393569562,Project,2121.6882,2121.6882,2121.6882,6.1993041,6.1993041,6.1993041,86.136726
BW-23-97,8/12/2023,Spigot,42.0964553,-111.5348436,Ground,-9.091,0.036,-17.121,0.025,-124.212,0.4,-15.325,6.517,7.192438398,12.756,0.447213595,Project,2121.9866,2121.9866,2121.9866,6.5620027,6.5620027,6.5620027,33.367855
BW-23-98,8/12/2023,South Fork St Charles Creek,42.0944188,-111.5297263,River_or_stream,-9.211,0.029,-17.37,0.029,-126.775,0.335,-13.572,1.901,2.098079695,12.185,0.407491104,Project,2095.4182,2095.4182,2095.4182,8.5241203,8.5241203,8.5241203,333.37405
BW-23-70,8/11/2023,Bloomington Creek us,42.184896,-111.531269,River_or_stream,-8.98,0.022,-16.996,0.021,-122.908,0.321,35.958,10.303,10.92323046,13.06,0.36230512,Project,2144.4597,2144.4597,2144.4597,3.2104905,3.2104905,3.2104905,2.1603558
BW-23-101,8/12/2023,Canteen Spring,41.9415639,-111.4817949,River_or_stream,-8.899,0.027,-16.747,0.031,-125.185,0.262,45.852,6.418,7.08306495,8.791,0.360760308,Project,2294.5962,2294.5962,2294.5962,11.40103,11.40103,11.40103,276.30222
BW-23-62,8/11/2023,Ovid Creek,42.2833966,-111.3985794,River_or_stream,-8.818,0.021,-16.717,0.03,-124.328,0.258,55.48,3.434,3.790395787,9.408,0.352369125,Project,1809.4619,1809.4619,1809.4619,3.6556785,3.6556785,3.6556785,251.98988
